START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/22/18,01:05 PM,01:05 PM,Huskies at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN- WFXT-25",02/22/18,02/22/18,04:05 PM,04:05 PM,FALSE,TRUE,02/22/18,12:05 PM,12:05 PM,FREE,BUSY
02/22/18,,,Eagles at Red Sox - Time TBD,JetBlue Park - Ft. Myers,"Local TV: NESN- WFXT-25",02/22/18,02/22/18,,,FALSE,TRUE,02/22/18,,,FREE,BUSY
02/23/18,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,"Local Radio: WEEI 850",02/23/18,02/23/18,04:05 PM,04:05 PM,FALSE,TRUE,02/23/18,12:05 PM,12:05 PM,FREE,BUSY
02/24/18,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN- MLBN ----- Local Radio: WEEI 850",02/24/18,02/24/18,04:05 PM,04:05 PM,FALSE,TRUE,02/24/18,12:05 PM,12:05 PM,FREE,BUSY
02/25/18,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN ----- Local Radio: WEEI 93.7",02/25/18,02/25/18,04:05 PM,04:05 PM,FALSE,TRUE,02/25/18,12:05 PM,12:05 PM,FREE,BUSY
02/27/18,01:05 PM,01:05 PM,Cardinals at Red Sox,JetBlue Park - Ft. Myers,"Local Radio: WEEI 850",02/27/18,02/27/18,04:05 PM,04:05 PM,FALSE,TRUE,02/27/18,12:05 PM,12:05 PM,FREE,BUSY
02/28/18,01:05 PM,01:05 PM,Pirates at Red Sox,JetBlue Park - Ft. Myers,"Local Radio: WEEI 850",02/28/18,02/28/18,04:05 PM,04:05 PM,FALSE,TRUE,02/28/18,12:05 PM,12:05 PM,FREE,BUSY
03/03/18,01:05 PM,01:05 PM,Yankees at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN- MLBN ----- Local Radio: WEEI 93.7",03/03/18,03/03/18,04:05 PM,04:05 PM,FALSE,TRUE,03/03/18,12:05 PM,12:05 PM,FREE,BUSY
03/07/18,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,"Local Radio: WEEI 850",03/07/18,03/07/18,04:05 PM,04:05 PM,FALSE,TRUE,03/07/18,12:05 PM,12:05 PM,FREE,BUSY
03/08/18,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN ----- Local Radio: WEEI 850",03/08/18,03/08/18,04:05 PM,04:05 PM,FALSE,TRUE,03/08/18,12:05 PM,12:05 PM,FREE,BUSY
03/11/18,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN ----- Local Radio: WEEI 93.7",03/11/18,03/11/18,04:05 PM,04:05 PM,FALSE,TRUE,03/11/18,12:05 PM,12:05 PM,FREE,BUSY
03/15/18,01:05 PM,01:05 PM,Blue Jays at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN- WFXT-25 ----- Local Radio: WEEI 850",03/15/18,03/15/18,04:05 PM,04:05 PM,FALSE,TRUE,03/15/18,12:05 PM,12:05 PM,FREE,BUSY
03/16/18,06:05 PM,06:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN ----- Local Radio: WEEI 93.7",03/16/18,03/16/18,09:05 PM,09:05 PM,FALSE,TRUE,03/16/18,05:05 PM,05:05 PM,FREE,BUSY
03/17/18,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN ----- Local Radio: WEEI 850",03/17/18,03/17/18,04:05 PM,04:05 PM,FALSE,TRUE,03/17/18,12:05 PM,12:05 PM,FREE,BUSY
03/19/18,01:05 PM,01:05 PM,Phillies at Red Sox,JetBlue Park - Ft. Myers,"Local Radio: WEEI 850",03/19/18,03/19/18,04:05 PM,04:05 PM,FALSE,TRUE,03/19/18,12:05 PM,12:05 PM,FREE,BUSY
