START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,12:05 PM,03:05 PM,White Sox at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports- KTNQ 1020",02/23/18,02/23/18,03:05 PM,06:05 PM,FALSE,TRUE,02/23/18,11:05 AM,02:05 PM,FREE,BUSY
02/24/18,12:05 PM,03:05 PM,Giants at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports- KTNQ 1020",02/24/18,02/24/18,03:05 PM,06:05 PM,FALSE,TRUE,02/24/18,11:05 AM,02:05 PM,FREE,BUSY
02/27/18,12:05 PM,03:05 PM,Rangers at Dodgers,Camelback Ranch - Glendale,"",02/27/18,02/27/18,03:05 PM,06:05 PM,FALSE,TRUE,02/27/18,11:05 AM,02:05 PM,FREE,BUSY
03/01/18,12:05 PM,03:05 PM,Indians at Dodgers,Camelback Ranch - Glendale,"",03/01/18,03/01/18,03:05 PM,06:05 PM,FALSE,TRUE,03/01/18,11:05 AM,02:05 PM,FREE,BUSY
03/03/18,12:05 PM,03:05 PM,D-backs at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports",03/03/18,03/03/18,03:05 PM,06:05 PM,FALSE,TRUE,03/03/18,11:05 AM,02:05 PM,FREE,BUSY
03/05/18,12:05 PM,03:05 PM,Indians at Dodgers,Camelback Ranch - Glendale,"",03/05/18,03/05/18,03:05 PM,06:05 PM,FALSE,TRUE,03/05/18,11:05 AM,02:05 PM,FREE,BUSY
03/09/18,12:05 PM,03:05 PM,Royals at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports",03/09/18,03/09/18,03:05 PM,06:05 PM,FALSE,TRUE,03/09/18,11:05 AM,02:05 PM,FREE,BUSY
03/10/18,06:05 PM,09:05 PM,Cubs at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA",03/10/18,03/11/18,09:05 PM,12:05 AM,FALSE,TRUE,03/10/18,05:05 PM,08:05 PM,FREE,BUSY
03/12/18,01:05 PM,04:05 PM,Brewers at Dodgers,Camelback Ranch - Glendale,"",03/12/18,03/12/18,04:05 PM,07:05 PM,FALSE,TRUE,03/12/18,12:05 PM,03:05 PM,FREE,BUSY
03/14/18,07:05 PM,10:05 PM,Rockies at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports",03/14/18,03/15/18,10:05 PM,01:05 AM,FALSE,TRUE,03/14/18,06:05 PM,09:05 PM,FREE,BUSY
