START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/18,01:05 PM,01:05 PM,Braves at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: MASN ----- Local Radio: 106.7 The Fan",02/25/18,02/25/18,04:05 PM,04:05 PM,FALSE,TRUE,02/25/18,12:05 PM,12:05 PM,FREE,BUSY
02/27/18,01:05 PM,01:05 PM,Marlins at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"",02/27/18,02/27/18,04:05 PM,04:05 PM,FALSE,TRUE,02/27/18,12:05 PM,12:05 PM,FREE,BUSY
03/04/18,01:05 PM,01:05 PM,Tigers at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: 106.7 The Fan",03/04/18,03/04/18,04:05 PM,04:05 PM,FALSE,TRUE,03/04/18,12:05 PM,12:05 PM,FREE,BUSY
03/06/18,01:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: MASN",03/06/18,03/06/18,04:05 PM,04:05 PM,FALSE,TRUE,03/06/18,12:05 PM,12:05 PM,FREE,BUSY
03/08/18,01:05 PM,01:05 PM,Mets at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"",03/08/18,03/08/18,04:05 PM,04:05 PM,FALSE,TRUE,03/08/18,12:05 PM,12:05 PM,FREE,BUSY
03/11/18,01:05 PM,01:05 PM,Cardinals at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: MASN ----- Local Radio: 106.7 The Fan",03/11/18,03/11/18,04:05 PM,04:05 PM,FALSE,TRUE,03/11/18,12:05 PM,12:05 PM,FREE,BUSY
03/13/18,07:05 PM,07:05 PM,Mets at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: MASN- MLBN ----- Local Radio: 106.7 The Fan",03/13/18,03/13/18,10:05 PM,10:05 PM,FALSE,TRUE,03/13/18,06:05 PM,06:05 PM,FREE,BUSY
03/15/18,01:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"",03/15/18,03/15/18,04:05 PM,04:05 PM,FALSE,TRUE,03/15/18,12:05 PM,12:05 PM,FREE,BUSY
03/16/18,01:05 PM,01:05 PM,Cardinals at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: MASN",03/16/18,03/16/18,04:05 PM,04:05 PM,FALSE,TRUE,03/16/18,12:05 PM,12:05 PM,FREE,BUSY
03/17/18,01:05 PM,01:05 PM,Mets at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: 106.7 The Fan",03/17/18,03/17/18,04:05 PM,04:05 PM,FALSE,TRUE,03/17/18,12:05 PM,12:05 PM,FREE,BUSY
03/20/18,01:05 PM,01:05 PM,Marlins at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"",03/20/18,03/20/18,04:05 PM,04:05 PM,FALSE,TRUE,03/20/18,12:05 PM,12:05 PM,FREE,BUSY
03/21/18,01:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: MASN- ESPN2",03/21/18,03/21/18,04:05 PM,04:05 PM,FALSE,TRUE,03/21/18,12:05 PM,12:05 PM,FREE,BUSY
03/23/18,06:05 PM,06:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: MASN ----- Local Radio: 106.7 The Fan",03/23/18,03/23/18,09:05 PM,09:05 PM,FALSE,TRUE,03/23/18,05:05 PM,05:05 PM,FREE,BUSY
03/24/18,01:05 PM,01:05 PM,Marlins at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"",03/24/18,03/24/18,04:05 PM,04:05 PM,FALSE,TRUE,03/24/18,12:05 PM,12:05 PM,FREE,BUSY
03/25/18,01:05 PM,01:05 PM,Cardinals at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: MLBN",03/25/18,03/25/18,04:05 PM,04:05 PM,FALSE,TRUE,03/25/18,12:05 PM,12:05 PM,FREE,BUSY
03/27/18,04:05 PM,04:05 PM,Twins at Nationals,Nationals Park - Washington,"Local Radio: 106.7 The Fan",03/27/18,03/27/18,07:05 PM,07:05 PM,FALSE,TRUE,03/27/18,03:05 PM,03:05 PM,FREE,BUSY
04/05/18,01:05 PM,01:05 PM,Mets at Nationals,Nationals Park - Washington,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan",04/05/18,04/05/18,04:05 PM,04:05 PM,FALSE,TRUE,04/05/18,12:05 PM,12:05 PM,FREE,BUSY
04/07/18,01:05 PM,01:05 PM,Mets at Nationals,Nationals Park - Washington,"Local TV: MASN 2 ----- Local Radio: 106.7 The Fan",04/07/18,04/07/18,04:05 PM,04:05 PM,FALSE,TRUE,04/07/18,12:05 PM,12:05 PM,FREE,BUSY
04/08/18,08:08 PM,08:08 PM,Mets at Nationals,Nationals Park - Washington,"Local TV: ESPN ----- Local Radio: 106.7 The Fan",04/08/18,04/08/18,11:08 PM,11:08 PM,FALSE,TRUE,04/08/18,07:08 PM,07:08 PM,FREE,BUSY
04/09/18,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park - Washington,"Local TV: MASN ----- Local Radio: 106.7 The Fan",04/09/18,04/09/18,10:05 PM,10:05 PM,FALSE,TRUE,04/09/18,06:05 PM,06:05 PM,FREE,BUSY
04/10/18,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park - Washington,"Local TV: MASN ----- Local Radio: 106.7 The Fan",04/10/18,04/10/18,10:05 PM,10:05 PM,FALSE,TRUE,04/10/18,06:05 PM,06:05 PM,FREE,BUSY
04/11/18,01:05 PM,01:05 PM,Braves at Nationals,Nationals Park - Washington,"Local TV: MASN ----- Local Radio: 106.7 The Fan",04/11/18,04/11/18,04:05 PM,04:05 PM,FALSE,TRUE,04/11/18,12:05 PM,12:05 PM,FREE,BUSY
04/12/18,07:05 PM,07:05 PM,Rockies at Nationals,Nationals Park - Washington,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan",04/12/18,04/12/18,10:05 PM,10:05 PM,FALSE,TRUE,04/12/18,06:05 PM,06:05 PM,FREE,BUSY
04/13/18,07:05 PM,07:05 PM,Rockies at Nationals,Nationals Park - Washington,"Local TV: MASN 2- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan",04/13/18,04/13/18,10:05 PM,10:05 PM,FALSE,TRUE,04/13/18,06:05 PM,06:05 PM,FREE,BUSY
04/14/18,01:05 PM,01:05 PM,Rockies at Nationals,Nationals Park - Washington,"Local TV: MASN 2 ----- Local Radio: 106.7 The Fan",04/14/18,04/14/18,04:05 PM,04:05 PM,FALSE,TRUE,04/14/18,12:05 PM,12:05 PM,FREE,BUSY
04/15/18,01:35 PM,01:35 PM,Rockies at Nationals,Nationals Park - Washington,"Local TV: MASN 2 ----- Local Radio: 106.7 The Fan",04/15/18,04/15/18,04:35 PM,04:35 PM,FALSE,TRUE,04/15/18,12:35 PM,12:35 PM,FREE,BUSY
04/27/18,07:05 PM,07:05 PM,D-backs at Nationals,Nationals Park - Washington,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan",04/27/18,04/27/18,10:05 PM,10:05 PM,FALSE,TRUE,04/27/18,06:05 PM,06:05 PM,FREE,BUSY
04/28/18,04:05 PM,04:05 PM,D-backs at Nationals,Nationals Park - Washington,"Local TV: MASN- FS1- FOX Deportes ----- Local Radio: 106.7 The Fan",04/28/18,04/28/18,07:05 PM,07:05 PM,FALSE,TRUE,04/28/18,03:05 PM,03:05 PM,FREE,BUSY
04/29/18,01:35 PM,01:35 PM,D-backs at Nationals,Nationals Park - Washington,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan",04/29/18,04/29/18,04:35 PM,04:35 PM,FALSE,TRUE,04/29/18,12:35 PM,12:35 PM,FREE,BUSY
04/30/18,07:05 PM,07:05 PM,Pirates at Nationals,Nationals Park - Washington,"Local TV: MASN ----- Local Radio: 106.7 The Fan",04/30/18,04/30/18,10:05 PM,10:05 PM,FALSE,TRUE,04/30/18,06:05 PM,06:05 PM,FREE,BUSY
05/01/18,07:05 PM,07:05 PM,Pirates at Nationals,Nationals Park - Washington,"Local TV: MASN ----- Local Radio: 106.7 The Fan",05/01/18,05/01/18,10:05 PM,10:05 PM,FALSE,TRUE,05/01/18,06:05 PM,06:05 PM,FREE,BUSY
05/02/18,07:05 PM,07:05 PM,Pirates at Nationals,Nationals Park - Washington,"Local TV: MASN ----- Local Radio: 106.7 The Fan",05/02/18,05/02/18,10:05 PM,10:05 PM,FALSE,TRUE,05/02/18,06:05 PM,06:05 PM,FREE,BUSY
05/03/18,01:05 PM,01:05 PM,Pirates at Nationals,Nationals Park - Washington,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan",05/03/18,05/03/18,04:05 PM,04:05 PM,FALSE,TRUE,05/03/18,12:05 PM,12:05 PM,FREE,BUSY
05/04/18,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: MASN ----- Local Radio: 106.7 The Fan",05/04/18,05/04/18,10:05 PM,10:05 PM,FALSE,TRUE,05/04/18,06:05 PM,06:05 PM,FREE,BUSY
05/05/18,04:05 PM,04:05 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: MASN ----- Local Radio: 106.7 The Fan",05/05/18,05/05/18,07:05 PM,07:05 PM,FALSE,TRUE,05/05/18,03:05 PM,03:05 PM,FREE,BUSY
05/06/18,01:35 PM,01:35 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: MASN ----- Local Radio: 106.7 The Fan",05/06/18,05/06/18,04:35 PM,04:35 PM,FALSE,TRUE,05/06/18,12:35 PM,12:35 PM,FREE,BUSY
05/15/18,07:05 PM,07:05 PM,Yankees at Nationals,Nationals Park - Washington,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan",05/15/18,05/15/18,10:05 PM,10:05 PM,FALSE,TRUE,05/15/18,06:05 PM,06:05 PM,FREE,BUSY
05/19/18,02:05 PM,02:05 PM,Dodgers at Nationals,Nationals Park - Washington,"Local TV: MASN ----- Local Radio: 106.7 The Fan",05/19/18,05/19/18,05:05 PM,05:05 PM,FALSE,TRUE,05/19/18,01:05 PM,01:05 PM,FREE,BUSY
05/19/18,08:05 PM,08:05 PM,Dodgers at Nationals,Nationals Park - Washington,"Local TV: MASN ----- Local Radio: 106.7 The Fan",05/19/18,05/19/18,11:05 PM,11:05 PM,FALSE,TRUE,05/19/18,07:05 PM,07:05 PM,FREE,BUSY
05/20/18,01:35 PM,01:35 PM,Dodgers at Nationals,Nationals Park - Washington,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan",05/20/18,05/20/18,04:35 PM,04:35 PM,FALSE,TRUE,05/20/18,12:35 PM,12:35 PM,FREE,BUSY
