START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/19,12:05 PM,03:05 PM,White Sox at Athletics,Hohokam Stadium - Mesa,"Local Radio: KTRB 860",02/23/19,02/23/19,03:05 PM,06:05 PM,FALSE,TRUE,02/23/19,11:05 AM,02:05 PM,FREE,BUSY
02/24/19,12:05 PM,03:05 PM,Royals at Athletics,Hohokam Stadium - Mesa,"Local Radio: KTRB 860",02/24/19,02/24/19,03:05 PM,06:05 PM,FALSE,TRUE,02/24/19,11:05 AM,02:05 PM,FREE,BUSY
02/26/19,12:05 PM,03:05 PM,Angels at Athletics,Hohokam Stadium - Mesa,"Local Radio: KTRB 860",02/26/19,02/26/19,03:05 PM,06:05 PM,FALSE,TRUE,02/26/19,11:05 AM,02:05 PM,FREE,BUSY
02/27/19,12:05 PM,03:05 PM,Dodgers at Athletics,Hohokam Stadium - Mesa,"Local Radio: KTRB 860",02/27/19,02/27/19,03:05 PM,06:05 PM,FALSE,TRUE,02/27/19,11:05 AM,02:05 PM,FREE,BUSY
03/01/19,12:05 PM,03:05 PM,Rockies at Athletics,Hohokam Stadium - Mesa,"Local Radio: KTRB 860",03/01/19,03/01/19,03:05 PM,06:05 PM,FALSE,TRUE,03/01/19,11:05 AM,02:05 PM,FREE,BUSY
03/02/19,12:05 PM,03:05 PM,Indians at Athletics,Hohokam Stadium - Mesa,"Local Radio: KTRB 860",03/02/19,03/02/19,03:05 PM,06:05 PM,FALSE,TRUE,03/02/19,11:05 AM,02:05 PM,FREE,BUSY
03/05/19,12:05 PM,03:05 PM,Rangers at Athletics,Hohokam Stadium - Mesa,"Local Radio: KTRB 860",03/05/19,03/05/19,03:05 PM,06:05 PM,FALSE,TRUE,03/05/19,11:05 AM,02:05 PM,FREE,BUSY
03/08/19,12:05 PM,03:05 PM,Padres at Athletics,Hohokam Stadium - Mesa,"Local Radio: KTRB 860",03/08/19,03/08/19,03:05 PM,06:05 PM,FALSE,TRUE,03/08/19,11:05 AM,02:05 PM,FREE,BUSY
03/09/19,12:05 PM,03:05 PM,Brewers at Athletics,Hohokam Stadium - Mesa,"Local Radio: KTRB 860",03/09/19,03/09/19,03:05 PM,06:05 PM,FALSE,TRUE,03/09/19,11:05 AM,02:05 PM,FREE,BUSY
03/10/19,01:05 PM,04:05 PM,Giants at Athletics,Hohokam Stadium - Mesa,"Local TV: NBCSCA ----- Local Radio: KTRB 860",03/10/19,03/10/19,04:05 PM,07:05 PM,FALSE,TRUE,03/10/19,12:05 PM,03:05 PM,FREE,BUSY
03/13/19,01:05 PM,04:05 PM,Cubs at Athletics,Hohokam Stadium - Mesa,"Local Radio: KTRB 860",03/13/19,03/13/19,04:05 PM,07:05 PM,FALSE,TRUE,03/13/19,12:05 PM,03:05 PM,FREE,BUSY
03/20/19,02:35 AM,05:35 AM,Mariners at Athletics,Tokyo Dome - Tokyo,"Local TV: ESPN ----- Local Radio: KTRB 860",03/20/19,03/20/19,05:35 AM,08:35 AM,FALSE,TRUE,03/20/19,01:35 AM,04:35 AM,FREE,BUSY
03/21/19,02:35 AM,05:35 AM,Mariners at Athletics,Tokyo Dome - Tokyo,"Local TV: ESPN ----- Local Radio: KTRB 860",03/21/19,03/21/19,05:35 AM,08:35 AM,FALSE,TRUE,03/21/19,01:35 AM,04:35 AM,FREE,BUSY
03/24/19,01:05 PM,04:05 PM,Giants at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860",03/24/19,03/24/19,04:05 PM,07:05 PM,FALSE,TRUE,03/24/19,12:05 PM,03:05 PM,FREE,BUSY
03/28/19,01:07 PM,04:07 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860",03/28/19,03/28/19,04:07 PM,07:07 PM,FALSE,TRUE,03/28/19,12:07 PM,03:07 PM,FREE,BUSY
03/29/19,07:07 PM,10:07 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860",03/29/19,03/30/19,10:07 PM,01:07 AM,FALSE,TRUE,03/29/19,06:07 PM,09:07 PM,FREE,BUSY
03/30/19,06:07 PM,09:07 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860",03/30/19,03/31/19,09:07 PM,12:07 AM,FALSE,TRUE,03/30/19,05:07 PM,08:07 PM,FREE,BUSY
03/31/19,01:07 PM,04:07 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860",03/31/19,03/31/19,04:07 PM,07:07 PM,FALSE,TRUE,03/31/19,12:07 PM,03:07 PM,FREE,BUSY
04/01/19,07:07 PM,10:07 PM,Red Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860",04/01/19,04/02/19,10:07 PM,01:07 AM,FALSE,TRUE,04/01/19,06:07 PM,09:07 PM,FREE,BUSY
04/02/19,07:07 PM,10:07 PM,Red Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860",04/02/19,04/03/19,10:07 PM,01:07 AM,FALSE,TRUE,04/02/19,06:07 PM,09:07 PM,FREE,BUSY
04/03/19,07:07 PM,10:07 PM,Red Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860",04/03/19,04/04/19,10:07 PM,01:07 AM,FALSE,TRUE,04/03/19,06:07 PM,09:07 PM,FREE,BUSY
04/04/19,12:37 PM,03:37 PM,Red Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860",04/04/19,04/04/19,03:37 PM,06:37 PM,FALSE,TRUE,04/04/19,11:37 AM,02:37 PM,FREE,BUSY
04/16/19,07:07 PM,10:07 PM,Astros at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860- KIQI 1010",04/16/19,04/17/19,10:07 PM,01:07 AM,FALSE,TRUE,04/16/19,06:07 PM,09:07 PM,FREE,BUSY
04/17/19,07:07 PM,10:07 PM,Astros at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA- MLBN (out-of-market only) ----- Local Radio: KTRB 860- KIQI 1010",04/17/19,04/18/19,10:07 PM,01:07 AM,FALSE,TRUE,04/17/19,06:07 PM,09:07 PM,FREE,BUSY
04/19/19,07:07 PM,10:07 PM,Blue Jays at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860- KIQI 1010",04/19/19,04/20/19,10:07 PM,01:07 AM,FALSE,TRUE,04/19/19,06:07 PM,09:07 PM,FREE,BUSY
04/20/19,01:07 PM,04:07 PM,Blue Jays at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860- KIQI 1010",04/20/19,04/20/19,04:07 PM,07:07 PM,FALSE,TRUE,04/20/19,12:07 PM,03:07 PM,FREE,BUSY
04/21/19,01:07 PM,04:07 PM,Blue Jays at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860- KIQI 1010",04/21/19,04/21/19,04:07 PM,07:07 PM,FALSE,TRUE,04/21/19,12:07 PM,03:07 PM,FREE,BUSY
04/22/19,07:07 PM,10:07 PM,Rangers at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860- KIQI 1010",04/22/19,04/23/19,10:07 PM,01:07 AM,FALSE,TRUE,04/22/19,06:07 PM,09:07 PM,FREE,BUSY
04/23/19,07:07 PM,10:07 PM,Rangers at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: KTRB 860- KIQI 1010",04/23/19,04/24/19,10:07 PM,01:07 AM,FALSE,TRUE,04/23/19,06:07 PM,09:07 PM,FREE,BUSY
